Fund_Name,VaR_95,CVaR_95
Fund_1,-0.01743842014972869,-0.021713948736450998
Fund_2,-0.017704858826662114,-0.02272042542496708
Fund_3,-0.019864218019002147,-0.02436040086285561
Fund_4,-0.01632969245633334,-0.020082635316112037
Fund_5,-0.018254143790719518,-0.023385603134478475
Fund_6,-0.016870072871876463,-0.022117657052818464
Fund_7,-0.01867565562820556,-0.025233131612010344
Fund_8,-0.019563013359028582,-0.023682124747015015
Fund_9,-0.01874733580438252,-0.025135636142738622
Fund_10,-0.017148916427496726,-0.020292705836965595
Fund_11,-0.01632548265725748,-0.02255606997438703
Fund_12,-0.020866904857322784,-0.025886743822212146
Fund_13,-0.02153133072510597,-0.024225944183846406
Fund_14,-0.01971720685560756,-0.025950196802142816
Fund_15,-0.02083547996329671,-0.02371480784576531
Fund_16,-0.020331382894270642,-0.024188803296250734
Fund_17,-0.021696943868486168,-0.027398265278716923
Fund_18,-0.01949677760982584,-0.023884122854262245
Fund_19,-0.018426838712785883,-0.027395548203822742
Fund_20,-0.02034060737345418,-0.02462223919730809
Fund_21,-0.017213346970831312,-0.020459014481396302
Fund_22,-0.02016579145138701,-0.024332567740610492
Fund_23,-0.020414211692242862,-0.024952676687779955
Fund_24,-0.021484800321455038,-0.026629235421223793
Fund_25,-0.016638208061768214,-0.020719271419278117
Fund_26,-0.021285034997134123,-0.02593356993783005
Fund_27,-0.02083417062312473,-0.02577374474016911
Fund_28,-0.019559421478440177,-0.022427326001200457
Fund_29,-0.022598576473149688,-0.027866101820621506
Fund_30,-0.020752740846463443,-0.0242019172011359
Fund_31,-0.019192097584353193,-0.02556421282917442
Fund_32,-0.017332844825519073,-0.023363139902627433
Fund_33,-0.022027845039785155,-0.027637001500393225
Fund_34,-0.01726322598127702,-0.02271219065916507
Fund_35,-0.019023118476719725,-0.023412099773853993
Fund_36,-0.019029806547367478,-0.021954890561227142
Fund_37,-0.01981842396508416,-0.022785333917671124
Fund_38,-0.01767707088533104,-0.023361838592167807
Fund_39,-0.01853703381061345,-0.02444674951955413
Fund_40,-0.01628074765725724,-0.02106592243637973
